Position_tree	OTU_name	Taxonomy	Relative_abundance (%)					Trend *				P value_Mann-Whitney U test			
			NCD	HFD	HFD+BBR200	HFD+BBR100	HFD+MET200	HFD+BBR200	HFD+BBR100	HFD+MET200	Kruskalwallis test	NCD vs HFD	HFD vs HFD+BBR200	HFD vs HFD+BBR100	HFD vs HFD+MET200
75	U00001166	Firmicutes; Clostridia; Clostridiales; ; 	0.06	0.00	0.00	0.00	0.00	same	same	same	1.83E-07	0.0008	NaN	NaN	NaN
76	U00164359	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Clostridium IV	0.00	0.00	0.59	0.01	0.00	up	up	same	1.81E-07	NaN	0.0002	0.1681	NaN
77	U00008098	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Flavonifractor	0.43	0.64	0.00	0.01	0.42	down	down	down	4.51E-07	0.6232	0.0002	0.0004	0.3847
78	U00022935	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Clostridium XlVb	0.00	0.00	0.03	0.52	0.26	up	up	up	2.16E-07	0.3681	0.1681	0.0001	0.0002
79	U00000981	Firmicutes; Clostridia; Clostridiales; ; 	0.32	0.31	0.00	0.11	0.16	down	down	down	2.18E-04	0.6776	0.0002	0.1455	0.3068
80	U00439707	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; 	0.36	0.05	0.01	0.00	0.00	down	down	down	1.10E-03	0.0357	0.4562	0.2343	0.0779
81	U00003481	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus	1.08	0.16	0.02	0.00	0.07	down	down	down	4.48E-05	0.0054	0.1722	0.0403	0.6280
82	U00002723	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; 	0.24	0.02	0.00	0.01	0.00	down	down	down	4.34E-06	0.0016	1.0000	0.6704	0.3681
83	U00000406	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillibacter	1.15	2.20	0.01	1.45	0.90	down	down	down	1.11E-05	0.0452	0.0001	0.2123	0.0113
84	U00000983	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillibacter	0.26	0.26	0.00	0.22	0.10	down	down	down	2.12E-04	0.9698	0.0001	0.4725	0.0630
85	U00000594	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillibacter	1.21	1.42	0.01	0.69	1.52	down	down	up	2.51E-05	0.7913	0.0001	0.0312	0.9698
86	U00132882	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillibacter	0.41	0.09	0.00	0.00	0.02	down	down	down	7.79E-07	0.0027	0.0147	0.0060	0.1066
87	U00000595	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; 	0.64	0.08	0.00	0.01	0.02	down	down	down	9.20E-06	0.0048	0.0779	0.5184	0.4318
88	U00005444	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Flavonifractor	0.13	0.66	0.00	0.16	0.40	down	down	down	1.84E-05	0.0209	0.0002	0.0255	0.4727
